SiteID,Name,PI,Data_Use_Policy,AmeriFlux_BASE_Data,AmeriFlux_FLUXNET_Data,IGBP,IGBP_Description,Koppen,Koppen_Description,MAP,MAT,Country,Latitude,Longitude,Elevation,Years_of_AmeriFlux_BASE_Data,AmeriFlux_BASE_DOI,Years_of_AmeriFlux_FLUXNET_Data,AmeriFlux_FLUXNET_DOI,SiteStart,SiteEnd,BASE_variables_available,FLUXNET_variables_available,Number_of_years,Wetness_Index
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,Margaret Torn (mstorn@lbl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dsa,Dry Continental: hot summer,,,USA,36.4267,-99.42,611,"2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1246137,"2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/2006965,2009,2012,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,4,0.2976
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,Margaret Torn (mstorn@lbl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dsa,Dry Continental: hot summer,,,USA,36.6358,-99.5975,646,"2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1246138,"2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/2006966,2009,2012,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,4,0.3027
US-ARb,ARM Southern Great Plains burn site- Lamont,Margaret Torn (mstorn@lbl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",,,USA,35.5497,-98.0402,424,"2005, 2006",https://doi.org/10.17190/AMF/1246025,"2005, 2006",https://doi.org/10.17190/AMF/2006967,2005,2006,"CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, SW_IN, TA, USTAR, VPD, WD, WS",,2,0.4405
US-ARc,ARM Southern Great Plains control site- Lamont,Margaret Torn (mstorn@lbl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",,,USA,35.5465,-98.04,424,"2005, 2006",https://doi.org/10.17190/AMF/1246026,"2005, 2006",https://doi.org/10.17190/AMF/2006968,2005,2006,"CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, SW_IN, TA, USTAR, VPD, WD, WS",,2,0.4405
US-ARM,ARM Southern Great Plains site- Lamont,Sebastien Biraud (SCBiraud@lbl.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",843,14.76,USA,36.6058,-97.4888,314,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246027,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854366,2002,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX",,18,0.4922
US-Bar,Bartlett Experimental Forest,Andrew Richardson (Andrew.Richardson@nau.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1245.77,5.61,USA,44.0646,-71.2881,272,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246030,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2006969,2004,,"CO2, FC, H, LE, NETRAD, P, PA, PPFD_BC_IN, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,18,1.2788
US-Bi1,Bouldin Island Alfalfa,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,"Mediterranean: mild with dry, hot summer",338,16,USA,38.0992,-121.4993,-2.7,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1480317,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1871134,2016,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, P, PA, PPFD_IN, PPFD_OUT, PRI, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_PRI_REF_IN, SPEC_PRI_REF_OUT, SPEC_PRI_TGT_IN, SPEC_PRI_TGT_OUT, SPEC_RED_IN, SPEC_RED_OUT, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,6,0.222
US-Bi2,Bouldin Island corn,Dennis Baldocchi (baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,"Mediterranean: mild with dry, hot summer",338,16,USA,38.1091,-121.5351,-5,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1419513,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1871135,2017,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_PRI_REF_IN, SPEC_PRI_REF_OUT, SPEC_PRI_TGT_IN, SPEC_PRI_TGT_OUT, SPEC_RED_IN, SPEC_RED_OUT, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,5,0.221
US-BRG,Bayles Road Grassland Tower,Kimberly Novick (knovick@indiana.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1200,11.8,USA,39.2167,-86.5406,180,"2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1756416,"2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/2006970,2016,2021,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, P, PA, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,5,0.9075
US-BZB,Bonanza Creek Thermokarst Bog,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274,-2.4,USA,64.6955,-148.3208,100,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1773401,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881569,2011,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,11,0.4623
US-BZF,Bonanza Creek Rich Fen,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274,-2.4,USA,64.7013,-148.3121,95,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1756433,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881570,2011,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,11,0.4655
US-BZo,Bonanza Creek Old Thermokarst Bog,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274,-2.4,USA,64.6936,-148.33,100,"2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1846662,"2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881571,2018,,"CH4, CO2, FC, FCH4, G, GPP, H, LE, NETRAD, P, PA, PPFD_IN, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,4,0.4647
US-BZS,Bonanza Creek Black Spruce,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274,-2.4,USA,64.6963,-148.3235,100,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1756434,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881572,2010,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,12,0.4623
US-CF1,CAF-LTAR Cook East,Dave Huggins (David.Huggins@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,Warm Summer Continental: warm summer,550,9,USA,46.7815,-117.0821,794,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1543382,"2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832158,2017,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, H, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,4,0.4993
US-CF2,CAF-LTAR Cook West,Dave Huggins (David.Huggins@ars.usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,Warm Summer Continental: warm summer,550,9,USA,46.784,-117.0908,807,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1543383,"2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881573,2017,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, H, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,4,0.4968
US-CF3,CAF-LTAR Boyd North,Dave Huggins (David.Huggins@ars.usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,Warm Summer Continental: warm summer,550,9,USA,46.7551,-117.1261,795,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1543385,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881574,2017,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, H, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,5,0.4709
US-CF4,CAF-LTAR Boyd South,Dave Huggins (David.Huggins@ars.usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,Warm Summer Continental: warm summer,550,9,USA,46.7518,-117.1285,795,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1543384,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881575,2017,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, H, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,5,0.4709
US-Cop,Corral Pocket,David Bowling (david.bowling@utah.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",,,,,USA,38.09,-109.39,1520,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1246129,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2006972,2001,2007,"CO2, FC, G, H, LE, NEE, NETRAD, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,7,0.1903
US-CRT,Curtice Walter-Berger cropland,Jiquan Chen (jqchen@msu.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",849,10.1,USA,41.6285,-83.3471,180,"2011, 2012, 2013",https://doi.org/10.17190/AMF/1246156,"2011, 2012, 2013",https://doi.org/10.17190/AMF/2006974,2011,2013,"CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SWC, SW_IN, SW_OUT, SWP, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,3,0.742
US-CS1,Central Sands Irrigated Agricultural Field,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",830,7,USA,44.1031,-89.5379,328,"2018, 2019",https://doi.org/10.17190/AMF/1617710,"2018, 2019",https://doi.org/10.17190/AMF/1881576,2018,2019,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, RECO, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,2,0.7876
US-CS2,Tri county school Pine Forest,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",830,7,USA,44.1467,-89.5002,328,"2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617711,"2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881577,2018,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,4,0.7893
US-CS3,Central Sands Irrigated Agricultural Field,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",830,7,USA,44.1394,-89.5727,328,"2019, 2020",https://doi.org/10.17190/AMF/1617713,"2019, 2020",https://doi.org/10.17190/AMF/1881578,2019,,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, RECO, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,2,0.7899
US-CS4,Central Sands Irrigated Agricultural Field,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",830,7,USA,44.1597,-89.5475,328,"2020, 2021",https://doi.org/10.17190/AMF/1756417,"2020, 2021",https://doi.org/10.17190/AMF/1881579,2020,2020,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, RECO, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,2,0.789
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,787,7.65,USA,43.3448,-89.7117,264.9,"2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660340,"2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2006975,2018,,"CH4, CO2, FC, FCH4, FETCH_90, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, P_RAIN, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,4,0.7564
US-DS3,Staten Rice 1,Steve Deverel (sdeverel@hydrofocus.com),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,"Mediterranean: mild with dry, hot summer",432,16,USA,38.1235,-121.549,-7,"2021, 2022, 2023",https://doi.org/10.17190/AMF/1890490,2021,https://doi.org/10.17190/AMF/2229376,2021,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX",,1,0.2241
US-EDN,Eden Landing Ecological Reserve,Patty Oikawa (Patty.oikawa@csueastbay.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,"Mediterranean: mild with dry, hot summer",,,USA,37.6156,-122.114,,"2018, 2019",https://doi.org/10.17190/AMF/1543381,"2018, 2019",https://doi.org/10.17190/AMF/1832159,2018,,"CH4, CO2, FC, FCH4, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,2,0.2634
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",Ted Schuur (ted.Schuur@nau.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,378,-1,USA,63.8784,-149.2536,662,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1418678,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/2007170,2008,,"ALB, CH4, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,13,0.7129
US-Fcr,Cascaden Ridge Fire Scar,Yoshinobu Harazono (harazono2009gl@gmail.com),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dwc,"Subarctic: severe, dry winter, cool summer ",,-2.4,USA,65.3968,-148.9348,265,"2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1562388,"2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/2007172,2011,2014,"CO2, FC, FETCH_70, FETCH_80, G, GPP, H, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,4,0.4996
US-Fmf,Flagstaff - Managed Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",546,9.5,USA,35.1426,-111.7273,2160,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246050,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007173,2006,2010,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,6,0.3234
US-Fuf,Flagstaff - Unmanaged Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",562,8.7,USA,35.089,-111.762,2180,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246051,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007174,2006,2010,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,6,0.3346
